gene_symbol,anisotropy_index,plddt_mean,PAE_domain_blockiness_score,confidence_class,is_high_anisotropy
POC5,24.686435126462467,63.974834782608696,3.508112193042216,Low,True
CNNM2,8.540535839977684,70.37298285714286,4.8267833422873805,Adequate,True
FBLN5,7.054480619949517,83.33808035714287,3.5505553486584045,Adequate,True
STOML3,5.559834719858973,84.32628865979382,0.0,Adequate,True
GHR,5.13247062540886,58.69753918495297,5.309022073672339,Low,True
PANX3,5.075360561640713,81.7247193877551,2.774048610637689,Adequate,True
PIEZO2,4.441176983762356,79.4436389280677,2.799985883630068,Adequate,True
EMD,4.288514695460691,60.25062992125985,9.126964402947566,Low,True
MESP2,4.029817350768749,54.17438287153653,0.0,Low,True
ARNTL,3.3192797281217827,65.52864217252394,3.5856438629417164,Low,True
ROCK1,3.2921885930351955,76.13419497784342,4.948101497585386,Adequate,True
ADGRG6,3.0601126170353674,73.72809172809173,6.778548436294672,Adequate,True
GDF5,2.969673405734348,69.98487025948103,3.498298694083461,Low,False
DZIP1,2.5436815102910297,64.35407151095733,3.827516041159488,Low,False
COL11A2,2.4606769611384083,49.26498847926268,5.245271404169713,Low,False
LBX1,2.266410666464284,66.86779359430605,7.354659843586591,Low,False
HES7,2.247925981469548,73.28382222222221,4.970656751703688,Adequate,False
PPARGC1A,2.185052241061399,52.74286967418547,6.5607107575563255,Low,False
AQP4,1.969106742320216,81.03699690402476,5.205389340712672,Adequate,False
BNC2,1.9551006086909324,53.49764331210191,6.970123060728225,Low,False
SSPOP,1.9153536859133964,60.13063022019741,8.618371323526109,Low,False
GAPDH,1.7796909569435395,98.11611940298508,0.0,Adequate,False
MYLK,1.4640526080343412,65.84507314524556,8.28959095350075,Low,False
IGF1R,1.426632071596987,78.01789319678127,5.850335926217477,Adequate,False
DMD,1.3155342721236885,76.34927619047619,6.90819720471551,Adequate,False
